"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AR465","M48","NRS1","P10","R50","V521"
"group_2569","","hypothetical protein","6","6","1","1","1540","","","","134","134","134","AR465_01556","M48_02125","NRS1_02567","P10_02022","R50_01969","V521_02169"
"yycI","","Two-component system WalR/WalK regulatory protein YycI","6","6","1","1","2541","","","","788","788","788","AR465_00793","M48_00024","NRS1_00529","P10_02718","R50_02660","V521_00023"
"rpsU","","30S ribosomal protein S21","6","6","1","1","3837","","","","176","176","176","AR465_02024","M48_01567","NRS1_01772","P10_01550","R50_01572","V521_01616"
"group_2571","","hypothetical protein","6","6","1","1","3385","","","","302","302","302","AR465_01662","M48_02005","NRS1_01408","P10_01919","R50_01918","V521_02055"
"ftsL","","Cell division protein FtsL","6","6","1","1","3043","","","","401","401","401","AR465_02483","M48_01168","NRS1_02165","P10_01101","R50_01094","V521_01217"
"pxpB_2","","5-oxoprolinase subunit B","6","6","1","1","3802","","","","734","734","734","AR465_01991","M48_01601","NRS1_01739","P10_01582","R50_01604","V521_01651"
"tadA_2","","tRNA-specific adenosine deaminase","6","6","1","1","3824","","","","431","431","431","AR465_02011","M48_01580","NRS1_01759","P10_01563","R50_01585","V521_01629"
"rluB","","Ribosomal large subunit pseudouridine synthase B","6","6","1","1","3918","","","","737","737","737","AR465_02106","M48_01487","NRS1_01854","P10_01469","R50_01490","V521_01536"
"group_2576","","hypothetical protein","6","6","1","1","3676","","","","857","857","857","AR465_01863","M48_01731","NRS1_01610","P10_01703","R50_01728","V521_01782"
"group_2577","","hypothetical protein","6","6","1","1","1838","","","","248","248","248","AR465_00365","M48_00530","NRS1_00983","P10_00386","R50_00395","V521_00568"
"dps","","General stress protein 20U","6","6","1","1","1419","","","","443","443","443","AR465_01448","M48_02387","NRS1_02675","P10_02129","R50_02075","V521_02429"
"mazE","","Antitoxin MazE","6","6","1","1","1490","","","","170","170","170","AR465_01517","M48_02318","NRS1_02606","P10_02061","R50_02006","V521_02361"
"tgt","","Queuine tRNA-ribosyltransferase","6","6","1","1","3773","","","","1139","1139","1139","AR465_01962","M48_01630","NRS1_01710","P10_01611","R50_01633","V521_01680"
"group_2581","","hypothetical protein","6","6","1","1","2044","","","","422","422","422","AR465_00146","M48_00755","NRS1_01199","P10_00608","R50_00614","V521_00795"
"group_2582","","hypothetical protein","6","6","1","1","537","","","","296","296","296","AR465_00028","M48_00877","NRS1_02510","P10_00751","R50_00754","V521_00915"
"group_2583","","hypothetical protein","6","6","1","1","3053","","","","227","227","227","AR465_02494","M48_01157","NRS1_02176","P10_01090","R50_01083","V521_01206"
"group_2584","","hypothetical protein","6","6","1","1","3296","","","","266","266","266","AR465_02734","M48_00919","NRS1_02416","P10_00785","R50_00845","V521_00963"
"group_2585","","putative epimerase/dehydratase","6","6","1","1","1903","","","","965","965","965","AR465_00284","M48_00608","NRS1_01061","P10_00461","R50_00470","V521_00646"
"tcyC_1","","L-cystine import ATP-binding protein TcyC","6","6","1","1","3544","","","","728","728","728","AR465_01744","M48_01854","NRS1_01490","P10_01825","R50_01839","V521_01905"
"ftnA","","Bacterial non-heme ferritin","6","6","1","1","3399","","","","500","500","500","AR465_01676","M48_01991","NRS1_01422","P10_01905","R50_01904","V521_02041"
"group_2588","","hypothetical protein","6","6","1","1","3410","","","","275","275","275","AR465_01687","M48_01980","NRS1_01433","P10_01894","R50_01893","V521_02030"
"yjjP","","Inner membrane protein YjjP","6","6","1","1","2313","","","","761","761","761","AR465_00096","M48_00805","NRS1_01249","P10_00673","R50_00664","V521_00845"
"purC","","Phosphoribosylaminoimidazole-succinocarboxamide synthase","6","6","1","1","3156","","","","704","704","704","AR465_02597","M48_01058","NRS1_02279","P10_00924","R50_00982","V521_01104"
"pflB","","Formate acetyltransferase","6","6","1","1","380","","","","2249","2249","2249","AR465_00599","M48_00192","NRS1_00724","P10_00144","R50_00146","V521_00232"
"mreC","","Cell shape-determining protein MreC","6","6","1","1","3763","","","","842","842","842","AR465_01952","M48_01640","NRS1_01700","P10_01621","R50_01643","V521_01690"
"group_2593","","hypothetical protein","6","6","1","1","1944","","","","341","341","341","AR465_00245","M48_00647","NRS1_01100","P10_00500","R50_00509","V521_00687"
"ytpA","","Phospholipase YtpA","6","6","1","1","3654","","","","827","827","827","AR465_01842","M48_01753","NRS1_01588","P10_01725","R50_01750","V521_01804"
"group_2595","","hypothetical protein","6","6","1","1","3996","","","","269","269","269","AR465_00391","M48_00504","NRS1_00957","P10_00363","R50_00371","V521_00542"
"rplC","","50S ribosomal protein L3","6","6","1","1","1132","","","","662","662","662","AR465_01272","M48_02506","NRS1_00047","P10_02233","R50_02178","V521_02545"
"rplGA","","putative ribosomal protein YlxQ","6","6","1","1","2952","","","","317","317","317","AR465_02394","M48_01257","NRS1_02077","P10_01189","R50_01182","V521_01307"
"isdC","","Iron-regulated surface determinant protein C","6","6","1","1","3092","","","","683","683","683","AR465_02534","M48_01120","NRS1_02216","P10_01052","R50_01045","V521_01167"
"rplN","","50S ribosomal protein L14","6","6","1","1","1142","","","","368","368","368","AR465_01282","M48_02496","NRS1_00037","P10_02223","R50_02168","V521_02535"
"yflS","","Putative malate transporter YflS","6","6","1","1","2496","","","","818","1418","1318","AR465_00834","M48_02968","NRS1_00487","P10_02674","R50_02616","V521_03002"
"group_2600","","hypothetical protein","6","6","1","1","3531","","","","542","542","542","AR465_01702","M48_01897","NRS1_01448","P10_01834","R50_01878","V521_01948"
"group_2601","","hypothetical protein","6","6","1","1","3110","","","","275","275","275","AR465_02552","M48_01102","NRS1_02234","P10_00969","R50_01027","V521_01149"
"lspA","","Lipoprotein signal peptidase","6","6","1","1","3026","","","","491","491","491","AR465_02467","M48_01185","NRS1_02149","P10_01117","R50_01110","V521_01234"
"ydjZ","","TVP38/TMEM64 family inner membrane protein YdjZ","6","6","1","1","3260","","","","575","575","575","AR465_02698","M48_00955","NRS1_02380","P10_00821","R50_00881","V521_00999"
"rnj1","","Ribonuclease J 1","6","6","1","1","3132","","","","1697","1697","1697","AR465_02574","M48_01080","NRS1_02256","P10_00947","R50_01005","V521_01127"
"group_2605","","hypothetical protein","6","6","1","1","2100","","","","212","212","212","AR465_00918","M48_02882","NRS1_00403","P10_02590","R50_02532","V521_02917"
"group_2606","","hypothetical protein","6","6","1","1","2350","","","","473","473","473","AR465_00133","M48_00768","NRS1_01212","P10_00636","R50_00627","V521_00808"
"rplV","","50S ribosomal protein L22","6","6","1","1","1137","","","","353","353","353","AR465_01277","M48_02501","NRS1_00042","P10_02228","R50_02173","V521_02540"
"group_2608","","hypothetical protein","6","6","1","1","3691","","","","1274","1274","1274","AR465_01879","M48_01716","NRS1_01625","P10_01688","R50_01713","V521_01767"
"gatB_2","","Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B","6","6","1","1","3393","","","","1427","1427","1427","AR465_01670","M48_01997","NRS1_01416","P10_01911","R50_01910","V521_02047"
"hprK","","HPr kinase/phosphorylase","6","6","1","1","2297","","","","932","932","932","AR465_00081","M48_00821","NRS1_01264","P10_00688","R50_00679","V521_00860"
"group_2611","","hypothetical protein","6","6","1","1","3105","","","","461","461","461","AR465_02547","M48_01107","NRS1_02229","P10_00974","R50_01032","V521_01154"
"prsA","","Foldase protein PrsA","6","6","1","1","3560","","","","962","962","962","AR465_01760","M48_01838","NRS1_01506","P10_01809","R50_01823","V521_01889"
"rplR","","50S ribosomal protein L18","6","6","1","1","1148","","","","359","359","359","AR465_01288","M48_02490","NRS1_00031","P10_02217","R50_02162","V521_02529"
"group_2614","","hypothetical protein","6","6","1","1","2523","","","","236","236","236","AR465_00813","M48_00003","NRS1_00509","P10_02698","R50_02640","V521_00003"
"hisS","","Histidine--tRNA ligase","6","6","1","1","3781","","","","1262","1262","1262","AR465_01970","M48_01622","NRS1_01718","P10_01603","R50_01625","V521_01672"
"ureA","","Urease subunit gamma","6","6","1","1","1097","","","","302","302","302","AR465_01236","M48_02541","NRS1_00083","P10_02269","R50_02214","V521_02581"
"trmFO","","Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO","6","6","1","1","2969","","","","1307","1307","1307","AR465_02411","M48_01240","NRS1_02094","P10_01172","R50_01165","V521_01290"
"cidB","","Holin-like protein CidB","6","6","1","1","2236","","","","689","689","689","AR465_00989","M48_02789","NRS1_00333","P10_02521","R50_02464","V521_02827"
"yidC","","Membrane protein insertase YidC","6","6","1","1","1469","","","","872","872","872","AR465_01496","M48_02338","NRS1_02627","P10_02081","R50_02026","V521_02381"
"group_262","","hypothetical protein","6","6","1","1","2495","","","","464","464","464","AR465_00835","M48_02966","NRS1_00486","P10_02673","R50_02614","V521_03000"
"eno","","Enolase","6","6","1","1","3475","","","","1304","1304","1304","AR465_00064","M48_00838","NRS1_01282","P10_00705","R50_00696","V521_00877"
"ybbH_2","","putative HTH-type transcriptional regulator YbbH","6","6","1","1","498","","","","800","800","800","AR465_00510","M48_00288","NRS1_00813","P10_00241","R50_00236","V521_00330"
"group_2622","","Acid shock protein","6","6","1","1","997","","","","422","422","422","AR465_01140","M48_02639","NRS1_00180","P10_02367","R50_02311","V521_02678"
"prfA","","Peptide chain release factor 1","6","6","1","1","1442","","","","1076","1076","1076","AR465_01469","M48_02365","NRS1_02654","P10_02108","R50_02053","V521_02408"
"group_2624","","hypothetical protein","6","6","1","1","2185","","","","266","266","266","AR465_01036","M48_02737","NRS1_00285","P10_02471","R50_02416","V521_02778"
"icaR","","Biofilm operon icaADBC HTH-type negative transcriptional regulator IcaR","6","6","1","1","2468","","","","560","560","560","AR465_00862","M48_02940","NRS1_00459","P10_02646","R50_02589","V521_02974"
"ilvE","","putative branched-chain-amino-acid aminotransferase","6","6","1","1","1904","","","","1076","1076","1076","AR465_00283","M48_00609","NRS1_01062","P10_00462","R50_00471","V521_00647"
"cycA_1","","D-serine/D-alanine/glycine transporter","6","6","1","1","3722","","","","1361","1361","1361","AR465_01909","M48_01684","NRS1_01657","P10_01658","R50_01680","V521_01734"
"fabZ","","3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ","6","6","1","1","1461","","","","440","440","440","AR465_01488","M48_02346","NRS1_02635","P10_02089","R50_02034","V521_02389"
"group_2629","","Putative universal stress protein","6","6","1","1","3708","","","","500","500","500","AR465_01896","M48_01699","NRS1_01643","P10_01671","R50_01694","V521_01750"
"pcp","","Pyrrolidone-carboxylate peptidase","6","6","1","1","2492","","","","638","638","638","AR465_00838","M48_02965","NRS1_00483","P10_02670","R50_02613","V521_02999"
"group_2630","","N-carbamoylsarcosine amidase","6","6","1","1","2061","","","","560","560","560","AR465_00882","M48_02919","NRS1_00439","P10_02626","R50_02568","V521_02953"
"atpA","","ATP synthase subunit alpha","6","6","1","1","1455","","","","1508","1508","1508","AR465_01482","M48_02352","NRS1_02641","P10_02095","R50_02040","V521_02395"
"group_2632","","hypothetical protein","6","6","1","1","3640","","","","443","443","443","AR465_01830","M48_01766","NRS1_01576","P10_01738","R50_01763","V521_01817"
"phoP","","Alkaline phosphatase synthesis transcriptional regulatory protein PhoP","6","6","1","1","3725","","","","704","704","704","AR465_01912","M48_01681","NRS1_01660","P10_01655","R50_01677","V521_01731"
"trxB","","Thioredoxin reductase","6","6","1","1","2293","","","","935","935","935","AR465_00077","M48_00825","NRS1_01268","P10_00692","R50_00683","V521_00864"
"cynR","","HTH-type transcriptional regulator CynR","6","6","1","1","2238","","","","863","863","863","AR465_00987","M48_02791","NRS1_00335","P10_02523","R50_02466","V521_02829"
"xerD_4","","Tyrosine recombinase XerD","6","6","1","1","3914","","","","887","887","887","AR465_02102","M48_01491","NRS1_01850","P10_01473","R50_01494","V521_01540"
"group_2637","","hypothetical protein","6","6","1","1","83","","","","200","200","200","AR465_02197","M48_01462","NRS1_01879","P10_01374","R50_01398","V521_01510"
"group_2638","","hypothetical protein","6","6","1","1","1007","","","","944","944","944","AR465_01149","M48_02630","NRS1_00170","P10_02357","R50_02302","V521_02669"
"group_2639","","hypothetical protein","6","6","1","1","1819","","","","782","782","782","AR465_00388","M48_00507","NRS1_00960","P10_00366","R50_00374","V521_00545"
"group_264","","hypothetical protein","6","6","1","1","2491","","","","731","956","893","AR465_00839","M48_02964","NRS1_00482","P10_02669","R50_02612","V521_02997"
"codY","","GTP-sensing transcriptional pleiotropic repressor CodY","6","6","1","1","2965","","","","773","773","773","AR465_02407","M48_01244","NRS1_02090","P10_01176","R50_01169","V521_01294"
"rpsZ","","30S ribosomal protein S14 type Z","6","6","1","1","1145","","","","185","185","185","AR465_01285","M48_02493","NRS1_00034","P10_02220","R50_02165","V521_02532"
"group_2642","","hypothetical protein","6","6","1","1","2317","","","","320","320","320","AR465_00100","M48_00801","NRS1_01245","P10_00669","R50_00660","V521_00841"
"rpmG2_1","","50S ribosomal protein L33 2","6","6","1","1","2876","","","","149","149","149","AR465_02325","M48_01333","NRS1_02007","P10_01245","R50_01255","V521_01379"
"group_2644","","hypothetical protein","6","6","1","1","2942","","","","1265","1265","1265","AR465_02384","M48_01267","NRS1_02067","P10_01199","R50_01192","V521_01317"
"group_2645","","hypothetical protein","6","6","1","1","3353","","","","176","176","176","AR465_01634","M48_02033","NRS1_01380","P10_01948","R50_01952","V521_02083"
"rocA","","1-pyrroline-5-carboxylate dehydrogenase","6","6","1","1","2250","","","","1544","1544","1544","AR465_00975","M48_02805","NRS1_00347","P10_02536","R50_02478","V521_02842"
"group_2647","","hypothetical protein","6","6","1","1","3523","","","","344","344","344","AR465_01605","M48_02062","NRS1_01352","P10_02810","R50_01444","V521_02112"
"group_2648","","hypothetical protein","6","6","1","1","3799","","","","1268","1268","1268","AR465_01988","M48_01604","NRS1_01736","P10_01585","R50_01607","V521_01654"
"group_2649","","hypothetical protein","6","6","1","1","1060","","","","506","506","506","AR465_01199","M48_02578","NRS1_00120","P10_02306","R50_02251","V521_02618"
"group_265","","hypothetical protein","6","6","1","1","2489","","","","515","515","515","AR465_00841","M48_02962","NRS1_00480","P10_02667","R50_02610","V521_02995"
"cidA","","Holin-like protein CidA","6","6","1","1","2237","","","","395","395","395","AR465_00988","M48_02790","NRS1_00334","P10_02522","R50_02465","V521_02828"
"ywiB","","putative beta-barrel protein YwiB","6","6","1","1","1957","","","","416","416","416","AR465_00232","M48_00670","NRS1_01113","P10_00522","R50_00528","V521_00710"
"group_2652","","Phosphorylated carbohydrates phosphatase","6","6","1","1","1065","","","","635","635","635","AR465_01204","M48_02573","NRS1_00115","P10_02301","R50_02246","V521_02613"
"rplK","","50S ribosomal protein L11","6","6","1","1","1887","","","","422","422","422","AR465_00300","M48_00592","NRS1_01045","P10_00445","R50_00454","V521_00630"
"group_2654","","Putative transport protein","6","6","1","1","3211","","","","1085","1085","1085","AR465_02651","M48_01003","NRS1_02333","P10_00869","R50_00929","V521_01048"
"group_2655","","hypothetical protein","6","6","1","1","1424","","","","350","350","350","AR465_01452","M48_02382","NRS1_02671","P10_02125","R50_02071","V521_02425"
"tcyB","","L-cystine transport system permease protein TcyB","6","6","1","1","968","","","","728","728","728","AR465_01114","M48_02666","NRS1_00206","P10_02394","R50_02337","V521_02706"
"group_2657","","hypothetical protein","6","6","1","1","3033","","","","290","290","290","AR465_02473","M48_01178","NRS1_02155","P10_01111","R50_01104","V521_01227"
"hit","","Protein hit","6","6","1","1","3563","","","","422","422","422","AR465_01763","M48_01835","NRS1_01509","P10_01806","R50_01820","V521_01886"
"group_2659","","putative protein","6","6","1","1","3886","","","","362","362","362","AR465_02072","M48_01519","NRS1_01820","P10_01501","R50_01524","V521_01568"
"group_266","","hypothetical protein","6","6","1","1","2460","","","","302","302","302","AR465_00870","M48_02932","NRS1_00451","P10_02638","R50_02581","V521_02966"
"group_2660","","hypothetical protein","6","6","1","1","75","","","","698","698","698","AR465_02204","M48_01455","NRS1_01886","P10_01367","R50_01391","V521_01503"
"tyrS","","Tyrosine--tRNA ligase","6","6","1","1","3690","","","","1262","1262","1262","AR465_01878","M48_01717","NRS1_01624","P10_01689","R50_01714","V521_01768"
"rpsD","","30S ribosomal protein S4","6","6","1","1","3699","","","","602","602","602","AR465_01887","M48_01708","NRS1_01634","P10_01680","R50_01703","V521_01759"
"group_2663","","hypothetical protein","6","6","1","1","2005","","","","428","428","428","AR465_00184","M48_00717","NRS1_01161","P10_00569","R50_00575","V521_00757"
"group_2664","","hypothetical protein","6","6","1","1","2789","","","","509","509","509","AR465_02244","M48_01415","NRS1_01926","P10_01328","R50_01351","V521_01463"
"infA","","Translation initiation factor IF-1","6","6","1","1","1154","","","","218","218","218","AR465_01294","M48_02484","NRS1_00025","P10_02211","R50_02156","V521_02523"
"cshA","","DEAD-box ATP-dependent RNA helicase CshA","6","6","1","1","1478","","","","1520","1520","1520","AR465_01505","M48_02329","NRS1_02618","P10_02072","R50_02017","V521_02372"
"glyQS","","Glycine--tRNA ligase","6","6","1","1","3847","","","","1391","1391","1391","AR465_02034","M48_01557","NRS1_01782","P10_01540","R50_01562","V521_01606"
"purS","","Phosphoribosylformylglycinamidine synthase subunit PurS","6","6","1","1","3155","","","","263","263","263","AR465_02596","M48_01059","NRS1_02278","P10_00925","R50_00983","V521_01105"
"group_2669","","hypothetical protein","6","6","1","1","2321","","","","314","314","314","AR465_00104","M48_00797","NRS1_01241","P10_00665","R50_00656","V521_00837"
"group_267","","hypothetical protein","6","6","1","1","2451","","","","959","959","959","AR465_00877","M48_02924","NRS1_00444","P10_02631","R50_02573","V521_02958"
"rpmF","","50S ribosomal protein L32","6","6","1","1","3095","","","","173","173","173","AR465_02537","M48_01117","NRS1_02219","P10_00984","R50_01042","V521_01164"
"malP","","PTS system maltose-specific EIICB component","6","6","1","1","1062","","","","1604","1604","1604","AR465_01201","M48_02576","NRS1_00118","P10_02304","R50_02249","V521_02616"
"murT","","Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT","6","6","1","1","3400","","","","1313","1313","1313","AR465_01677","M48_01990","NRS1_01423","P10_01904","R50_01903","V521_02040"
"nrdD","","Anaerobic ribonucleoside-triphosphate reductase","6","6","1","1","2093","","","","1850","1850","1850","AR465_00912","M48_02888","NRS1_00409","P10_02597","R50_02539","V521_02923"
"group_2674","","hypothetical protein","6","6","1","1","1431","","","","860","860","860","AR465_01458","M48_02376","NRS1_02665","P10_02119","R50_02064","V521_02419"
"group_2675","","hypothetical protein","6","6","1","1","3762","","","","473","473","473","AR465_01951","M48_01641","NRS1_01699","P10_01622","R50_01644","V521_01691"
"srrB","","Sensor protein SrrB","6","6","1","1","3920","","","","1751","1751","1751","AR465_02108","M48_01485","NRS1_01856","P10_01467","R50_01488","V521_01534"
"group_2677","","Isoleucine 2-epimerase","6","6","1","1","2106","","","","1337","1337","1337","AR465_00924","M48_02876","NRS1_00397","P10_02583","R50_02526","V521_02911"
"thrB","","Homoserine kinase","6","6","1","1","2881","","","","914","914","914","AR465_02330","M48_01328","NRS1_02012","P10_01240","R50_01250","V521_01374"
"mleN_1","","Malate-2H(+)/Na(+)-lactate antiporter","6","6","1","1","1085","","","","1397","1400","1399","AR465_01224","M48_02553","NRS1_00095","P10_02281","R50_02226","V521_02593"
"group_268","","hypothetical protein","6","6","1","1","2060","","","","1883","1907","1899","AR465_00881","M48_02920","NRS1_00440","P10_02627","R50_02569","V521_02954"
"group_2680","","hypothetical protein","6","6","1","1","1377","","","","1976","1976","1976","AR465_01402","M48_02438","NRS1_02721","P10_02167","R50_02118","V521_02477"
"gltA","","Glutamate synthase [NADPH] large chain","6","6","1","1","1822","","","","4499","4499","4499","AR465_00385","M48_00510","NRS1_00963","P10_00369","R50_00377","V521_00548"
"group_2682","","hypothetical protein","6","6","1","1","3309","","","","1307","1307","1307","AR465_00021","M48_00907","NRS1_02503","P10_00773","R50_00761","V521_00947"
"walK","","Sensor protein kinase WalK","6","6","1","1","2539","","","","1826","1826","1826","AR465_00795","M48_00022","NRS1_00527","P10_02716","R50_02658","V521_00021"
"group_2684","","hypothetical protein","6","6","1","1","948","","","","659","659","659","AR465_01094","M48_02686","NRS1_00226","P10_02414","R50_02357","V521_02726"
"purK","","N5-carboxyaminoimidazole ribonucleotide synthase","6","6","1","1","3157","","","","1124","1124","1124","AR465_02598","M48_01057","NRS1_02280","P10_00923","R50_00981","V521_01103"
"obg","","GTPase Obg","6","6","1","1","3768","","","","1292","1292","1292","AR465_01957","M48_01635","NRS1_01705","P10_01616","R50_01638","V521_01685"
"mccB","","Cystathionine gamma-lyase","6","6","1","1","4001","","","","1142","1142","1142","AR465_00396","M48_00499","NRS1_00952","P10_00358","R50_00366","V521_00537"
"arcA","","Arginine deiminase","6","6","1","1","2074","","","","728","1235","1150","AR465_00892","M48_02909","NRS1_00429","P10_02616","R50_02558","V521_02943"
"aes","","Acetyl esterase","6","6","1","1","2004","","","","1043","1043","1043","AR465_00185","M48_00716","NRS1_01160","P10_00568","R50_00574","V521_00756"
"scmP_2","","N-acetylcysteine deacetylase","6","6","1","1","1899","","","","1175","1175","1175","AR465_00288","M48_00604","NRS1_01057","P10_00457","R50_00466","V521_00642"
"group_2692","","hypothetical protein","6","6","1","1","3139","","","","542","542","542","AR465_02581","M48_01073","NRS1_02263","P10_00940","R50_00998","V521_01120"
"queG","","Epoxyqueuosine reductase","6","6","1","1","3545","","","","1127","1127","1127","AR465_01745","M48_01853","NRS1_01491","P10_01824","R50_01838","V521_01904"
"scmP_4","","N-acetylcysteine deacetylase","6","6","1","1","1056","","","","1121","1121","1121","AR465_01195","M48_02582","NRS1_00124","P10_02310","R50_02255","V521_02622"
"group_2695","","hypothetical protein","6","6","1","1","2872","","","","863","863","863","AR465_02321","M48_01336","NRS1_02004","P10_01248","R50_01258","V521_01382"
"narH","","Respiratory nitrate reductase 1 beta chain","6","6","1","1","987","","","","1559","1559","1559","AR465_01131","M48_02649","NRS1_00189","P10_02377","R50_02320","V521_02688"
"group_2697","","putative ABC transporter permease protein","6","6","1","1","1961","","","","986","986","986","AR465_00228","M48_00674","NRS1_01117","P10_00526","R50_00532","V521_00714"
"lctP_1","","L-lactate permease","6","6","1","1","1708","","","","1592","1592","1592","AR465_00713","M48_00084","NRS1_00609","P10_00035","R50_00038","V521_00126"
"icaA","","Poly-beta-1,6-N-acetyl-D-glucosamine synthase","6","6","1","1","2469","","","","1238","1238","1238","AR465_00861","M48_02941","NRS1_00460","P10_02647","R50_02590","V521_02975"
"group_2700","","putative sensor-like histidine kinase","6","6","1","1","378","","","","1556","1556","1556","AR465_00601","M48_00190","NRS1_00722","P10_00142","R50_00144","V521_00230"
"ydbM","","Putative acyl-CoA dehydrogenase YdbM","6","6","1","1","1099","","","","1154","1154","1154","AR465_01238","M48_02539","NRS1_00081","P10_02267","R50_02212","V521_02579"
"menB","","1,4-dihydroxy-2-naphthoyl-CoA synthase","6","6","1","1","3178","","","","821","821","821","AR465_02618","M48_01038","NRS1_02300","P10_00904","R50_00962","V521_01083"
"mltF","","Membrane-bound lytic murein transglycosylase F","6","6","1","1","3543","","","","1457","1457","1457","AR465_01743","M48_01855","NRS1_01489","P10_01826","R50_01840","V521_01906"
"leuA_2","","2-isopropylmalate synthase","6","6","1","1","1502","","","","1529","1529","1529","AR465_01534","M48_02301","NRS1_02589","P10_02044","R50_01991","V521_02344"
"group_2705","","putative CtpA-like serine protease","6","6","1","1","2788","","","","1490","1490","1490","AR465_02243","M48_01416","NRS1_01925","P10_01329","R50_01353","V521_01464"
"rqcH","","Rqc2 RqcH","6","6","1","1","3014","","","","1697","1697","1697","AR465_02455","M48_01197","NRS1_02137","P10_01129","R50_01122","V521_01246"
"araB","","Ribulokinase","6","6","1","1","1902","","","","1637","1637","1637","AR465_00285","M48_00607","NRS1_01060","P10_00460","R50_00469","V521_00645"
"feuB","","Iron-uptake system permease protein FeuB","6","6","1","1","1997","","","","1004","1004","1004","AR465_00192","M48_00709","NRS1_01153","P10_00561","R50_00567","V521_00749"
"group_2709","","hypothetical protein","6","6","1","1","1410","","","","1091","1091","1091","AR465_01440","M48_02396","NRS1_02683","P10_02137","R50_02083","V521_02437"
"group_271","","hypothetical protein","6","6","1","1","2121","","","","275","275","275","AR465_00939","M48_02864","NRS1_00382","P10_02571","R50_02512","V521_02899"
"divIC","","Cell division protein DivIC","6","6","1","1","1857","","","","392","392","392","AR465_00346","M48_00549","NRS1_01002","P10_00405","R50_00414","V521_00587"
"csd","","putative cysteine desulfurase","6","6","1","1","3308","","","","1241","1241","1241","AR465_00020","M48_00908","NRS1_02502","P10_00774","R50_00762","V521_00948"
"glnA","","Glutamine synthetase","6","6","1","1","2912","","","","1340","1340","1340","AR465_02354","M48_01297","NRS1_02037","P10_01229","R50_01222","V521_01348"
"ssbA_5","","Single-stranded DNA-binding protein A","6","6","1","1","1463","","","","395","395","395","AR465_01490","M48_02344","NRS1_02633","P10_02087","R50_02032","V521_02387"
"gnd","","6-phosphogluconate dehydrogenase, decarboxylating","6","6","1","1","3901","","","","1406","1406","1406","AR465_02088","M48_01504","NRS1_01836","P10_01486","R50_01509","V521_01553"
"group_2715","","hypothetical protein","6","6","1","1","436","","","","392","392","392","AR465_00553","M48_00240","NRS1_00770","P10_00191","R50_00194","V521_00281"
"group_2716","","hypothetical protein","6","6","1","1","2879","","","","314","314","314","AR465_02328","M48_01330","NRS1_02010","P10_01242","R50_01252","V521_01376"
"group_2717","","hypothetical protein","6","6","1","1","3358","","","","740","740","740","AR465_01639","M48_02028","NRS1_01385","P10_01943","R50_01947","V521_02078"
"pth","","Peptidyl-tRNA hydrolase","6","6","1","1","1852","","","","572","572","572","AR465_00351","M48_00544","NRS1_00997","P10_00400","R50_00409","V521_00582"
"sarT","","HTH-type transcriptional regulator SarT","6","6","1","1","2194","","","","356","356","356","AR465_01031","M48_02745","NRS1_00290","P10_02477","R50_02422","V521_02784"
"yqeH","","putative protein YqeH","6","6","1","1","3816","","","","1100","1100","1100","AR465_02003","M48_01588","NRS1_01751","P10_01571","R50_01593","V521_01637"
"yfiZ_2","","putative siderophore transport system permease protein YfiZ","6","6","1","1","1382","","","","1031","1031","1031","AR465_01407","M48_02433","NRS1_02716","P10_02162","R50_02113","V521_02472"
"hrtA_1","","Putative hemin import ATP-binding protein HrtA","6","6","1","1","490","","","","677","677","677","AR465_00518","M48_00280","NRS1_00805","P10_00233","R50_00228","V521_00322"
"gatD_1","","Galactitol 1-phosphate 5-dehydrogenase","6","6","1","1","410","","","","1043","1043","1043","AR465_00575","M48_00217","NRS1_00748","P10_00168","R50_00170","V521_00258"
"garK_1","","Glycerate 2-kinase","6","6","1","1","2316","","","","1124","1124","1124","AR465_00099","M48_00802","NRS1_01246","P10_00670","R50_00661","V521_00842"
"pheA","","Bifunctional chorismate mutase/prephenate dehydratase","6","6","1","1","3376","","","","794","794","794","AR465_01653","M48_02014","NRS1_01399","P10_01928","R50_01927","V521_02064"
"cntL","","D-histidine 2-aminobutanoyltransferase","6","6","1","1","2151","","","","818","818","818","AR465_01059","M48_02721","NRS1_00261","P10_02449","R50_02392","V521_02762"
"comGA","","ComG operon protein 1","6","6","1","1","3868","","","","974","974","974","AR465_02054","M48_01537","NRS1_01802","P10_01519","R50_01542","V521_01586"
"qoxA","","putative quinol oxidase subunit 2","6","6","1","1","3162","","","","1100","1100","1100","AR465_02603","M48_01053","NRS1_02285","P10_00919","R50_00977","V521_01099"
"group_2733","","hypothetical protein","6","6","1","1","1434","","","","521","521","521","AR465_01461","M48_02373","NRS1_02662","P10_02116","R50_02061","V521_02416"
